.text,.data,.bss,.rdata,.edata,.idata,.rsrc,.tls,.reloc,Num_Sections,Unknown_Sections,Unknown_Sections_lines,.text_por,.data_por,.bss_por,.rdata_por,.edata_por,.idata_por,.rsrc_por,.tls_por,.reloc_por,known_Sections_por,Unknown_Sections_por,Unknown_Sections_lines_por
109939,24568,0,26405,0,616,0,0,0,4,0,0,0.6806188400772621,0.15209746916943193,0.0,0.1634701104452479,0.0,0.0038135803080580457,0.0,0.0,0,1.0,0.0,0.0
10368,4595,92,0,0,206,3,0,0,6,1,18,0.6784452296819788,0.3006805391964403,0.006020154430048423,0.0,0.0,0.013479911006412774,0.00019630938358853554,0.0,0,0.8333333333333334,0.16666666666666666,0.001177856301531213
22430,1366754,0,1794,0,1158,0,0,0,5,1,18,0.016111723271994335,0.9817548920593555,0.0,0.0012886505372250484,0.0,0.0008318045273726901,0.0,0.0,0,0.8,0.2,1.2929604052425234e-05
68883,662,0,1093,0,304,0,0,0,5,1,18,0.9707299887260429,0.009329199549041713,0.0,0.01540304396843292,0.0,0.004284103720405863,0.0,0.0,0,0.8,0.2,0.0002536640360766629
744,57,0,323,0,127,3,0,3,7,1,19,0.5830721003134797,0.04467084639498432,0.0,0.25313479623824453,0.0,0.09952978056426333,0.0023510971786833857,0.0,0,0.7142857142857143,0.14285714285714285,0.014890282131661442
838,77840,0,0,0,41,3,0,0,6,2,36,0.010640188933187739,0.988344041240255,0.0,0.0,0.0,0.0005205820361106173,3.809136849589883e-05,0.0,0,0.6666666666666666,0.3333333333333333,0.00045709642195078593
129362,24994,0,24509,0,644,0,0,0,4,0,0,0.7206435331933218,0.13923535867282422,0.0,0.13653354427911693,0.0,0.003587563854737088,0.0,0.0,0,1.0,0.0,0.0
93532,6551,0,21273,0,503,0,0,0,4,0,0,0.7675428158773665,0.05375885244421832,0.0,0.17457061029550547,0.0,0.004127721382909756,0.0,0.0,0,1.0,0.0,0.0
5372,4329,0,2349368,0,606,0,0,0,4,0,0,0.00227658469916408,0.0018345746765974127,0.0,0.9956320255967454,0.0,0.0002568150274931929,0.0,0.0,0,1.0,0.0,0.0
0,0,0,23,0,176,3,19,3,9,4,11562,0.0,0.0,0.0,0.0019514678432038012,0.0,0.014932971321907348,0.000254539283896148,0.0016120821313422705,0,0.4444444444444444,0.4444444444444444,0.9809944001357542
8630,25277,0,963518,0,312,0,0,0,4,0,0,0.00864957398593016,0.025334331592393587,0.0,0.9657033867642475,0.0,0.0003127076574287613,0.0,0.0,0,1.0,0.0,0.0
0,0,0,0,0,253,3,0,3,7,4,81385,0.0,0.0,0.0,0.0,0.0,0.003098819264122287,3.6744892459948065e-05,0.0,0,0.2857142857142857,0.5714285714285714,0.9968276909509578
2216,1061,0,1502,0,0,3,0,0,5,1,17,0.46176286726401333,0.22108772660971035,0.0,0.3129818712231715,0.0,0.0,0.000625130235465722,0.0,0,0.8,0.2,0.0035424046676390914
60476,3760,0,0,0,349,3,0,3,6,1,19,0.9360160965794768,0.0581953258009596,0.0,0.0,0.0,0.005401640612908218,4.643244079863798e-05,0.0,0,0.6666666666666666,0.16666666666666666,0.00029407212505804057
2216,1033,0,640,0,124,3,0,0,6,1,19,0.5491945477075588,0.25600991325898387,0.0,0.15861214374225527,0.0,0.030731102850061958,0.0007434944237918215,0.0,0,0.8333333333333334,0.16666666666666666,0.004708798017348203
3405,783910,0,598,0,123,0,0,0,5,1,17,0.004320775379320934,0.99474273938428,0.0,0.0007588322105239114,0.0,0.0001560808727331791,0.0,0.0,0,0.8,0.2,2.1572153141984106e-05
9247,6325,0,0,0,245,3,0,0,6,2,110,0.5804770872567483,0.3970495919648462,0.0,0.0,0.0,0.015379786566227243,0.00018832391713747646,0.0,0,0.6666666666666666,0.3333333333333333,0.006905210295040804
11379,342,0,1133,0,243,0,0,0,5,1,18,0.8676324818909645,0.0260770110560427,0.0,0.08638963019443385,0.0,0.018528402592451393,0.0,0.0,0,0.8,0.2,0.0013724742661075104
1730,1070,0,211,0,128,3,0,0,6,1,17,0.5476416587527698,0.3387147831592276,0.0,0.06679328901551124,0.0,0.04051915163026274,0.000949667616334283,0.0,0,0.8333333333333334,0.16666666666666666,0.0053814498258942705
11119,1047,0,3385,0,323,3,0,3,7,1,17,0.6994401459394854,0.0658614832987356,0.0,0.2129332578473926,0.0,0.020318299050135245,0.0001887148518588413,0.0,0,0.7142857142857143,0.14285714285714285,0.001069384160533434
208992,4915,0,5530,0,519,0,0,0,4,0,0,0.9501536670970557,0.0223453781665424,0.0,0.025141391914746587,0.0,0.0023595628216552403,0.0,0.0,0,1.0,0.0,0.0
5486,3737,0,2069367,0,336,0,0,0,4,0,0,0.00263886256653676,0.0017975627800123717,0.0,0.9954019527390585,0.0,0.00016162191439233526,0.0,0.0,0,1.0,0.0,0.0
0,0,0,511,0,178,3,19,3,9,4,92164,0.0,0.0,0.0,0.0055018411249165575,0.0,0.0019164926031998966,3.2300437132582524e-05,0.00020456943517302268,0,0.4444444444444444,0.4444444444444444,0.9923124959624453
102549,26642,0,52555,0,310,0,0,0,4,0,0,0.5632827261941381,0.1463395878191326,0.0,0.28867491321351674,0.0,0.0017027727732126378,0.0,0.0,0,1.0,0.0,0.0
208048,19267,0,0,0,1746,3,0,3,7,2,2321,0.8991304648469238,0.0832670665721645,0.0,0.0,0.0,0.007545767282659429,1.2965235880858125e-05,0.0,0,0.5714285714285714,0.2857142857142857,0.01003077082649057
7931,2200737,0,27702,0,539,0,0,0,4,0,0,0.0035455174975826016,0.9838294718292072,0.0,0.01238405317337451,0.0,0.0002409574998357108,0.0,0.0,0,1.0,0.0,0.0
